發生時間,車種,Y,X
2012-05-01 00:36:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-05-01 02:20:00,普通重型-機車,25.11777,121.5526
2012-05-01 07:36:00,自用-小客車;普通重型-機車;自用-小客車,25.04116,121.5917
2012-05-01 07:39:00,自用-小客車;普通重型-機車,25.05734,121.6116
2012-05-01 08:05:00,自用-小客車;自用-小客車,25.05191,121.5329
2012-05-01 08:30:00,自用-小客車;普通重型-機車,25.02682,121.5036
2012-05-01 08:40:00,自用-小客車;腳踏自行車-慢車,25.03877,121.5244
2012-05-01 08:45:00,普通重型-機車;自用-小客車,25.02575,121.5141
2012-05-01 08:45:00,腳踏自行車-慢車;普通重型-機車,25.21030,121.6659
2012-05-01 09:25:00,普通輕型-機車;普通重型-機車,25.06943,121.5396
2012-05-01 09:27:00,普通重型-機車;普通輕型-機車;普通輕型-機車,25.03440,121.5677
2012-05-01 09:29:00,普通重型-機車;普通重型-機車,25.07931,121.5838
2012-05-01 09:34:00,普通重型-機車;自用-小客車,25.21030,121.6659
2012-05-01 09:40:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-05-01 09:40:00,普通重型-機車;行人-人,25.03707,121.5256
2012-05-01 10:08:00,自用-小客車;普通重型-機車,25.04231,121.5715
2012-05-01 10:20:00,普通重型-機車;計程車-小客車,25.11123,121.5266
2012-05-01 10:35:00,自用-小客車;普通輕型-機車,25.11198,121.5174
2012-05-01 11:11:00,普通重型-機車;計程車-小客車,25.04529,121.5725
2012-05-01 11:16:00,自用-小客車;行人-人,25.08434,121.5939
2012-05-01 11:20:00,計程車-小客車;普通重型-機車,25.03402,121.5531
2012-05-01 11:35:00,自用-小客車;普通重型-機車,25.06446,121.6103
2012-05-01 11:40:00,普通重型-機車;自用-小客車,25.05870,121.5278
2012-05-01 11:46:00,租賃車-小客車;普通重型-機車,25.08703,121.5585
2012-05-01 11:53:00,自用-小客車;行人-人,25.21030,121.6659
2012-05-01 12:25:00,普通輕型-機車;普通重型-機車,25.06358,121.5363
2012-05-01 12:40:00,普通重型-機車;自用-小客車,25.11172,121.5121
2012-05-01 12:55:00,自用-小貨車;普通重型-機車;普通重型-機車,25.08087,121.5223
2012-05-01 13:20:00,計程車-小客車;計程車-小客車;計程車-小客車,25.08660,121.5391
2012-05-01 13:30:00,自用-小客車;普通重型-機車,25.05472,121.5905
2012-05-01 13:58:00,普通重型-機車;自用-小客車,25.07340,121.5472
2012-05-01 14:15:00,其他車-其他車;計程車-小客車,25.07941,121.5177
2012-05-01 14:20:00,普通重型-機車;普通重型-機車,25.13686,121.4992
2012-05-01 15:07:00,普通重型-機車;自用-小客車,25.17938,121.5650
2012-05-01 15:25:00,自用-小客車;普通重型-機車,25.12019,121.5244
2012-05-01 15:40:00,普通重型-機車;自用-小客車,25.12393,121.5339
2012-05-01 15:40:00,拼裝車-其他車;普通重型-機車,25.04033,121.5787
2012-05-01 16:00:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-05-01 16:30:00,自用-小客車;普通重型-機車;普通重型-機車,25.04545,121.5815
2012-05-01 17:06:00,計程車-小客車;普通重型-機車,25.05925,121.5257
2012-05-01 17:10:00,普通重型-機車;普通重型-機車,25.05129,121.5164
2012-05-01 17:14:00,普通重型-機車;腳踏自行車-慢車,25.06367,121.5630
2012-05-01 17:15:00,計程車-小客車;普通重型-機車;普通重型-機車,25.08453,121.5256
2012-05-01 17:40:00,自用-小客車;普通重型-機車,25.07861,121.5829
2012-05-01 18:10:00,普通重型-機車;自用-小客車,25.09241,121.5724
2012-05-01 18:20:00,普通重型-機車;自用-小客車,25.06417,121.5657
2012-05-01 19:25:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-05-01 19:37:00,租賃車-小客車;普通重型-機車;普通重型-機車,25.06257,121.6151
2012-05-01 21:00:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-05-01 21:15:00,腳踏自行車-慢車;腳踏自行車-慢車,25.01551,121.6200
2012-05-01 22:34:00,自用-小客車;普通重型-機車,25.06523,121.5134
2012-05-01 22:40:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.07255,121.6103
2012-05-01 23:43:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-05-01 23:43:00,普通重型-機車;普通重型-機車,25.08087,121.5223
2012-05-01 23:50:00,普通重型-機車;自用-小客車,25.07468,121.5802
2012-05-02 02:35:00,普通重型-機車;計程車-小客車,25.03226,121.5556
2012-05-02 02:55:00,普通重型-機車;計程車-小客車,25.03773,121.5684
2012-05-02 06:30:00,自用-小客車;普通重型-機車,25.06299,121.5202
2012-05-02 07:15:00,普通重型-機車;行人-人;普通重型-機車,25.07251,121.5121
2012-05-02 08:00:00,普通重型-機車;遊覽車-大客車,25.10111,121.5512
2012-05-02 08:30:00,普通重型-機車;普通重型-機車,25.04542,121.5660
2012-05-02 08:40:00,普通重型-機車;普通重型-機車,25.05458,121.6177
2012-05-02 08:45:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-05-02 08:55:00,普通重型-機車,25.21030,121.6659
2012-05-02 09:15:00,普通重型-機車;普通重型-機車,25.05100,121.5141
2012-05-02 09:25:00,普通重型-機車;行人-人;行人-人,25.06389,121.5373
2012-05-02 09:30:00,普通重型-機車;普通重型-機車,25.05140,121.5206
2012-05-02 09:31:00,自用-小客車;普通重型-機車,25.03155,121.5624
2012-05-02 09:51:00,租賃車-小客車;普通重型-機車;計程車-小客車,25.05942,121.5395
2012-05-02 10:05:00,自用-小客車;普通重型-機車,25.03387,121.5746
2012-05-02 10:14:00,計程車-小客車;普通重型-機車,25.04311,121.5837
2012-05-02 10:37:00,自用-小客車;租賃車-小客車;自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;自用-小客車,25.01611,121.5532
2012-05-02 12:00:00,其他車-其他車;普通重型-機車,25.01807,121.5445
2012-05-02 12:20:00,自用-小客車;普通重型-機車,25.14554,121.5038
2012-05-02 13:00:00,計程車-小客車;自用-小客車,25.05430,121.5652
2012-05-02 13:01:00,自用-小客車;普通重型-機車,25.03083,121.5704
