發生時間,車種,Y,X
NA,自用-小客車;自用-大貨車;自用-小客車;自用-小客車,25.05860,121.5205
NA,自用-小客車;普通重型-機車,25.06390,121.5243
NA,計程車-小客車;普通重型-機車,25.02367,121.5517
NA,自用-小客車;普通輕型-機車,25.03544,121.5384
NA,普通重型-機車;普通重型-機車,25.04993,121.5695
NA,自用-小客車;普通輕型-機車,25.08153,121.5500
NA,自用-小客車;普通重型-機車,25.11358,121.5301
NA,自用-小客車;普通重型-機車;普通重型-機車,25.02747,121.5362
NA,普通重型-機車;普通重型-機車,25.02609,121.5481
NA,普通輕型-機車;普通重型-機車,25.04295,121.5577
NA,自用-小客車;普通重型-機車,25.05116,121.5639
NA,自用-小客車;普通重型-機車,25.04159,121.5426
NA,普通重型-機車;普通重型-機車,25.01113,121.5604
NA,普通重型-機車;自用-小客車,25.04004,121.5175
NA,自用-小客車;普通重型-機車,25.05721,121.5173
NA,普通重型-機車;腳踏自行車-慢車,25.07730,121.5137
NA,自用-小貨車;普通重型-機車,25.05567,121.5229
NA,自用-小客車;普通重型-機車,25.04432,121.5846
NA,自用-小客車;普通重型-機車,25.10739,121.5135
NA,普通重型-機車;自用-小客車,25.04339,121.5816
NA,自用-小客車;遊覽車-大客車,25.12384,121.4652
NA,普通重型-機車;普通重型-機車,25.06863,121.5193
NA,計程車-小客車;普通重型-機車,25.04152,121.5532
NA,自用-小客車;普通輕型-機車,25.10936,121.5342
NA,自用-大貨車;腳踏自行車-慢車,25.07040,121.5859
NA,自用-小客車;腳踏自行車-慢車,25.03436,121.4979
NA,計程車-小客車;普通重型-機車,25.03974,121.5576
NA,自用-小客車;普通重型-機車,25.13171,121.5007
NA,民營公車-大客車;民營公車-大客車;民營公車-大客車,25.08103,121.5768
NA,自用-小客車;自用-小客車,25.04956,121.5733
NA,計程車-小客車;普通重型-機車;普通重型-機車,25.03387,121.5585
NA,自用-小客車;普通重型-機車,25.09755,121.5303
NA,自用-小客車;普通輕型-機車,25.10081,121.5376
NA,普通重型-機車;普通重型-機車;普通重型-機車,25.13467,121.4996
NA,計程車-小客車;普通重型-機車,25.03832,121.5561
NA,普通重型-機車;腳踏自行車-慢車,25.03306,121.4898
NA,普通重型-機車;普通輕型-機車,25.06859,121.5105
NA,普通重型-機車;自用-小客車;普通重型-機車,25.13273,121.5519
NA,自用-小客車;普通重型-機車,25.09957,121.5360
NA,自用-小客車;腳踏自行車-慢車,25.10580,121.5118
NA,普通重型-機車;自用-小客車;自用-小客車,25.04400,121.5511
NA,普通重型-機車;自用-小客車;計程車-小客車,25.04141,121.5531
NA,自用-小客車;普通重型-機車,25.05422,121.5973
NA,租賃車-小客車;普通重型-機車,25.04683,121.5806
NA,自用-小貨車;普通重型-機車,25.12266,121.4999
NA,自用-小客車;普通輕型-機車,25.05294,121.5577
NA,其他車-其他車;普通重型-機車;普通重型-機車,25.03136,121.5447
NA,普通重型-機車;行人-人,25.04712,121.5185
NA,自用-小客車;普通重型-機車,25.21030,121.6659
NA,其他車-其他車;普通重型-機車,25.04295,121.5577
NA,行人-人;普通重型-機車,25.04074,121.5755
NA,自用-小客車;普通重型-機車,25.07092,121.5163
NA,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.10667,121.5438
NA,計程車-小客車;普通重型-機車;普通重型-機車,25.06834,121.5274
NA,自用-小客車;普通重型-機車,25.06616,121.5791
NA,計程車-小客車;普通重型-機車,25.05541,121.5452
NA,普通重型-機車;普通重型-機車,25.21741,121.6076
NA,自用-小客車;普通輕型-機車;普通輕型-機車,25.21030,121.6659
NA,普通重型-機車;自用-小客車,25.02691,121.5481
NA,自用-小客車;腳踏自行車-慢車,25.21030,121.6659
NA,自用-小客車;普通重型-機車,25.03083,121.5704
NA,普通重型-機車;普通重型-機車,25.04931,121.5921
NA,計程車-小客車;普通重型-機車,25.01514,121.5323
NA,普通重型-機車;自用-小客車,25.11362,121.5215
NA,自用-小客車;普通重型-機車;普通重型-機車,25.11513,121.6286
