Country	District	Number
高雄市	阿蓮區	277
高雄市	大寮區	2229
高雄市	大社區	710
高雄市	大樹區	418
高雄市	鳳山區	5297
高雄市	岡山區	1787
高雄市	鼓山區	1761
高雄市	湖內區	436
高雄市	茄萣區	231
高雄市	甲仙區	9
高雄市	林園區	798
高雄市	苓雅區	3210
高雄市	六龜區	60
高雄市	路竹區	881
高雄市	茂林區	3
高雄市	美濃區	317
高雄市	彌陀區	126
高雄市	那瑪夏	8
高雄市	楠梓區	2723
高雄市	內門區	105
高雄市	鳥松區	1090
高雄市	旗津區	175
高雄市	旗山區	564
高雄市	前金區	573
高雄市	前鎮區	3248
高雄市	橋頭區	725
高雄市	仁武區	1643
高雄市	三民區	6116
高雄市	杉林區	50
高雄市	桃源區	1
高雄市	田寮區	37
高雄市	小港區	2149
高雄市	新興區	1628
高雄市	鹽埕區	327
高雄市	燕巢區	596
高雄市	永安區	121
高雄市	梓官區	268
高雄市	左營區	3135
花蓮縣	豐濱鄉	32
花蓮縣	鳳林鎮	143
花蓮縣	富里鄉	78
花蓮縣	光復鄉	100
花蓮縣	花蓮市	1602
花蓮縣	吉安鄉	1068
花蓮縣	瑞穗鄉	86
花蓮縣	壽豐鄉	255
花蓮縣	萬榮鄉	20
花蓮縣	新城鄉	256
花蓮縣	秀林鄉	127
花蓮縣	玉里鎮	209
花蓮縣	卓溪鄉	8
基隆市	安樂區	400
基隆市	暖暖區	204
基隆市	七堵區	387
基隆市	仁愛區	468
基隆市	信義區	364
基隆市	中山區	304
基隆市	中正區	371
嘉義市	東區國	2
嘉義市	東區嘉	1497
嘉義市	西區國	1
嘉義市	西區嘉	1704
嘉義縣	阿里山	39
嘉義縣	布袋鎮	176
嘉義縣	大埔鄉	3
嘉義縣	大林鎮	303
嘉義縣	東石鄉	132
嘉義縣	番路鄉	101
嘉義縣	六腳鄉	190
嘉義縣	鹿草鄉	82
嘉義縣	梅山鄉	87
嘉義縣	民雄鄉	918
嘉義縣	朴子市	541
嘉義縣	水上鄉	455
嘉義縣	太保市	413
嘉義縣	溪口鄉	82
嘉義縣	新港鄉	257
嘉義縣	義竹鄉	125
嘉義縣	中埔鄉	439
嘉義縣	竹崎鄉	244
金門縣	金城鎮	203
金門縣	金湖鎮	99
金門縣	金寧鄉	136
金門縣	金沙鎮	48
金門縣	烈嶼鄉	19
苗栗縣	大湖鄉	63
苗栗縣	公館鄉	113
苗栗縣	後龍鎮	185
苗栗縣	苗栗市	1074
苗栗縣	南庄鄉	13
苗栗縣	三灣鄉	14
苗栗縣	三義鄉	49
苗栗縣	獅潭鄉	16
苗栗縣	泰安鄉	2
苗栗縣	通霄鎮	204
苗栗縣	銅鑼鄉	124
苗栗縣	頭份鎮	928
苗栗縣	頭屋鄉	21
苗栗縣	西湖鄉	14
苗栗縣	苑裡鎮	424
苗栗縣	造橋鄉	38
苗栗縣	竹南鎮	1064
苗栗縣	卓蘭鎮	40
南投縣	埔里鎮	943
南投縣	草屯鎮	1272
南投縣	國姓鄉	101
南投縣	集集鎮	76
南投縣	鹿谷鄉	99
南投縣	名間鄉	310
南投縣	南投市	1461
南投縣	仁愛鄉	114
南投縣	水里鄉	145
南投縣	信義鄉	56
南投縣	魚池鄉	135
南投縣	中寮鄉	58
南投縣	竹山鎮	444
澎湖縣	白沙鄉	53
澎湖縣	湖西鄉	79
澎湖縣	馬公市	699
澎湖縣	七美鄉	2
澎湖縣	西嶼鄉	38
屏東縣	潮州鎮	611
屏東縣	車城鄉	99
屏東縣	春日鄉	2
屏東縣	東港鎮	547
屏東縣	枋寮鄉	286
屏東縣	枋山鄉	157
屏東縣	高樹鄉	192
屏東縣	恆春鎮	550
屏東縣	佳冬鄉	169
屏東縣	九如鄉	276
屏東縣	崁頂鄉	94
屏東縣	來義鄉	4
屏東縣	里港鄉	309
屏東縣	林邊鄉	121
屏東縣	麟洛鄉	218
屏東縣	琉球鄉	16
屏東縣	瑪家鄉	11
屏東縣	滿州鄉	45
屏東縣	牡丹鄉	8
屏東縣	南州鄉	99
屏東縣	內埔鄉	836
屏東縣	屏東市	2798
屏東縣	三地門	15
屏東縣	獅子鄉	14
屏東縣	萬丹鄉	723
屏東縣	萬巒鄉	138
屏東縣	霧台鄉	1
屏東縣	新埤鄉	74
屏東縣	新園鄉	344
屏東縣	鹽埔鄉	311
屏東縣	長治鄉	393
屏東縣	竹田鄉	200
臺北市	北投區	1958
臺北市	大安區	1794
臺北市	大同區	1428
臺北市	南港區	700
臺北市	內湖區	1813
臺北市	士林區	1736
臺北市	松山區	1297
臺北市	萬華區	1004
臺北市	文山區	1948
臺北市	信義區	1378
臺北市	中山區	2367
臺北市	中正區	1765
臺東縣	卑南鄉	134
臺東縣	成功鎮	115
臺東縣	池上鄉	56
臺東縣	達仁鄉	54
臺東縣	大武鄉	57
臺東縣	東河鄉	61
臺東縣	關山鎮	61
臺東縣	海端鄉	6
臺東縣	金峰鄉	9
臺東縣	蘭嶼鄉	14
臺東縣	鹿野鄉	64
臺東縣	綠島鄉	26
臺東縣	台東市	1460
臺東縣	太麻里	123
臺東縣	延平鄉	9
臺東縣	長濱鄉	54
臺南市	安定區	349
臺南市	安南區	720
臺南市	安平區	507
臺南市	白河區	241
臺南市	北門區	53
臺南市	北區北	130
臺南市	北區成	41
臺南市	北區赤	1
臺南市	北區大	46
臺南市	北區東	34
臺南市	北區富	2
臺南市	北區公	160
臺南市	北區國	2
臺南市	北區海	63
臺南市	北區好	1
臺南市	北區和	57
臺南市	北區金	8
臺南市	北區精	2
臺南市	北區開	81
臺南市	北區康	1
臺南市	北區立	1
臺南市	北區林	15
臺南市	北區臨	16
臺南市	北區民	12
臺南市	北區南	2
臺南市	北區勝	9
臺南市	北區實	14
臺南市	北區文	101
臺南市	北區武	8
臺南市	北區西	104
臺南市	北區賢	3
臺南市	北區小	70
臺南市	北區佑	1
臺南市	北區育	33
臺南市	北區長	42
臺南市	北區正	1
臺南市	北區中	95
臺南市	北區忠	5
臺南市	北區自	1
臺南市	大內區	46
臺南市	東區北	34
臺南市	東區城	1
臺南市	東區崇	265
臺南市	東區大	82
臺南市	東區德	16
臺南市	東區東	264
臺南市	東區府	19
臺南市	東區富	18
臺南市	東區光	14
臺南市	東區國	2
臺南市	東區建	1
臺南市	東區精	2
臺南市	東區凱	2
臺南市	東區立	5
臺南市	東區利	1
臺南市	東區林	95
臺南市	東區龍	1
臺南市	東區民	7
臺南市	東區前	15
臺南市	東區青	17
臺南市	東區慶	2
臺南市	東區仁	34
臺南市	東區榮	12
臺南市	東區生	22
臺南市	東區勝	29
臺南市	東區樹	4
臺南市	東區鐵	1
臺南市	東區衛	8
臺南市	東區文	5
臺南市	東區小	51
臺南市	東區怡	5
臺南市	東區育	2
臺南市	東區裕	141
臺南市	東區長	47
臺南市	東區中	165
臺南市	東區莊	8
臺南市	東區自	8
臺南市	東山區	118
臺南市	官田區	229
臺南市	關廟區	121
臺南市	歸仁區	497
臺南市	後壁區	170
臺南市	佳里區	699
臺南市	將軍區	101
臺南市	柳營區	211
臺南市	六甲區	154
臺南市	龍崎區	11
臺南市	麻豆區	622
臺南市	南化區	40
臺南市	南區8	1
臺南市	南區濱	32
臺南市	南區大	139
臺南市	南區德	17
臺南市	南區福	5
臺南市	南區公	1
臺南市	南區觀	1
臺南市	南區國	58
臺南市	南區惠	7
臺南市	南區機	3
臺南市	南區建	7
臺南市	南區健	92
臺南市	南區金	168
臺南市	南區敬	1
臺南市	南區鯤	3
臺南市	南區利	2
臺南市	南區美	2
臺南市	南區明	75
臺南市	南區南	16
臺南市	南區清	2
臺南市	南區仁	1
臺南市	南區三	9
臺南市	南區省	4
臺南市	南區聖	2
臺南市	南區樹	1
臺南市	南區水	2
臺南市	南區體	11
臺南市	南區灣	31
臺南市	南區萬	16
臺南市	南區文	22
臺南市	南區五	1
臺南市	南區喜	16
臺南市	南區西	47
臺南市	南區夏	50
臺南市	南區賢	3
臺南市	南區新	151
臺南市	南區興	8
臺南市	南區鹽	17
臺南市	南區永	84
臺南市	南區中	150
臺南市	南區竹	1
臺南市	南區尊	1
臺南市	楠西區	47
臺南市	七股區	163
臺南市	仁德區	811
臺南市	山上區	84
臺南市	善化區	621
臺南市	西港區	251
臺南市	下營區	197
臺南市	新化區	642
臺南市	新市區	775
臺南市	新營區	1035
臺南市	學甲區	227
臺南市	鹽水區	249
臺南市	永康區	3138
